,Pred_Age,True_Age,Age_res,platform
GSM3853434,33.02151107788086,34.0,-0.9784889221191406,850k
GSM3853435,46.78725051879883,48.0,-1.2127494812011719,850k
GSM3853436,49.81736373901367,51.0,-1.1826362609863281,850k
GSM3853437,20.188573837280273,21.0,-0.8114261627197266,850k
GSM3853438,21.727933883666992,22.0,-0.2720661163330078,850k
GSM3853439,25.928163528442383,25.0,0.9281635284423828,850k
GSM3853440,49.96150588989258,49.0,0.9615058898925781,850k
GSM3853441,55.69304275512695,56.0,-0.3069572448730469,850k
GSM3853442,22.706558227539062,22.0,0.7065582275390625,850k
GSM3853443,42.26769256591797,44.0,-1.7323074340820312,850k
GSM3853444,51.46833801269531,51.0,0.4683380126953125,850k
GSM3853445,42.746639251708984,44.0,-1.2533607482910156,850k
GSM3853446,42.32050704956055,42.0,0.3205070495605469,850k
GSM3853447,60.15522384643555,60.0,0.15522384643554688,850k
GSM3853448,27.03624153137207,26.0,1.0362415313720703,850k
GSM3853449,19.484039306640625,20.0,-0.515960693359375,850k
GSM3853450,47.12580871582031,47.0,0.1258087158203125,850k
GSM3853451,37.579917907714844,40.0,-2.4200820922851562,850k
GSM3853452,43.450164794921875,42.0,1.450164794921875,850k
GSM3853453,42.413211822509766,43.0,-0.5867881774902344,850k
GSM3853454,37.603126525878906,37.0,0.6031265258789062,850k
GSM3853455,37.84355926513672,39.0,-1.1564407348632812,850k
GSM3853456,28.04698944091797,27.0,1.0469894409179688,850k
GSM3853457,41.85887145996094,44.0,-2.1411285400390625,850k
GSM3853458,32.429115295410156,31.0,1.4291152954101562,850k
GSM3853459,47.744205474853516,48.0,-0.2557945251464844,850k
GSM3853460,30.90121841430664,30.0,0.9012184143066406,850k
GSM3853461,25.709434509277344,27.0,-1.2905654907226562,850k
GSM3853462,44.20838165283203,45.0,-0.7916183471679688,850k
GSM3853463,38.60025405883789,40.0,-1.3997459411621094,850k
GSM3853464,52.843467712402344,54.0,-1.1565322875976562,850k
GSM3853465,49.086429595947266,49.0,0.08642959594726562,850k
GSM3853466,49.830963134765625,49.0,0.830963134765625,850k
GSM3853467,48.37241744995117,48.0,0.3724174499511719,850k
GSM3853468,28.7961483001709,29.0,-0.20385169982910156,850k
GSM3853469,54.36171340942383,54.0,0.3617134094238281,850k
GSM3853470,36.03300476074219,36.0,0.0330047607421875,850k
GSM3853471,30.249427795410156,29.0,1.2494277954101562,850k
GSM3853472,23.296428680419922,23.0,0.2964286804199219,850k
GSM3853473,38.44636535644531,40.0,-1.5536346435546875,850k
GSM3853474,47.4550895690918,50.0,-2.544910430908203,850k
GSM3853475,36.227012634277344,37.0,-0.7729873657226562,850k
GSM3853476,43.53419494628906,45.0,-1.4658050537109375,850k
GSM3853477,24.622529983520508,25.0,-0.3774700164794922,850k
GSM3853478,55.99394607543945,59.0,-3.006053924560547,850k
GSM3853479,54.14604568481445,54.0,0.14604568481445312,850k
GSM3853480,42.747222900390625,43.0,-0.252777099609375,850k
GSM3853481,22.414737701416016,25.0,-2.5852622985839844,850k
GSM3853482,26.089391708374023,27.0,-0.9106082916259766,850k
GSM3853483,25.90714454650879,28.0,-2.092855453491211,850k
GSM3853484,27.01076889038086,21.0,6.010768890380859,850k
GSM3853485,29.710498809814453,29.0,0.7104988098144531,850k
GSM3853486,36.84071350097656,37.0,-0.1592864990234375,850k
GSM3853487,58.26937484741211,56.0,2.2693748474121094,850k
GSM3853488,50.553863525390625,49.0,1.553863525390625,850k
GSM3853489,20.832094192504883,22.0,-1.1679058074951172,850k
GSM3853490,45.671878814697266,45.0,0.6718788146972656,850k
GSM3853491,28.50967025756836,28.0,0.5096702575683594,850k
GSM3853492,23.705965042114258,25.0,-1.2940349578857422,850k
GSM3853493,18.78406524658203,18.0,0.7840652465820312,850k
GSM3853494,49.216915130615234,47.0,2.2169151306152344,850k
GSM3853495,29.862186431884766,30.0,-0.13781356811523438,850k
GSM3853496,43.94553756713867,44.0,-0.054462432861328125,850k
GSM3853497,57.80295181274414,60.0,-2.1970481872558594,850k
GSM3853498,34.205692291259766,36.0,-1.7943077087402344,850k
GSM3853499,31.052413940429688,32.0,-0.9475860595703125,850k
GSM3853500,43.40306091308594,44.0,-0.5969390869140625,850k
GSM3853501,32.3475456237793,31.0,1.3475456237792969,850k
GSM3853502,55.9798469543457,57.0,-1.0201530456542969,850k
GSM3853503,43.793724060058594,44.0,-0.20627593994140625,850k
GSM3853504,45.81310272216797,48.0,-2.1868972778320312,850k
GSM3853505,29.027116775512695,32.0,-2.9728832244873047,850k
GSM3853506,32.170494079589844,33.0,-0.8295059204101562,850k
GSM3853507,51.60980987548828,53.0,-1.3901901245117188,850k
GSM3853508,61.328853607177734,61.0,0.3288536071777344,850k
GSM3853509,53.9311637878418,56.0,-2.068836212158203,850k
GSM3853510,39.04300308227539,40.0,-0.9569969177246094,850k
GSM3853511,53.20360565185547,54.0,-0.7963943481445312,850k
GSM3853512,48.2261848449707,50.0,-1.7738151550292969,850k
GSM3853513,53.42789840698242,55.0,-1.5721015930175781,850k
GSM3853514,47.11296844482422,50.0,-2.8870315551757812,850k
GSM3853515,27.557817459106445,29.0,-1.4421825408935547,850k
GSM3853516,20.24086570739746,20.0,0.24086570739746094,850k
GSM3853517,39.296852111816406,39.0,0.29685211181640625,850k
GSM3853518,43.99577331542969,43.0,0.9957733154296875,850k
GSM3853519,36.225189208984375,38.0,-1.774810791015625,850k
GSM3853520,32.244449615478516,33.0,-0.7555503845214844,850k
GSM3853521,34.008358001708984,34.0,0.008358001708984375,850k
GSM3853522,22.16289520263672,23.0,-0.8371047973632812,850k
GSM3853523,27.580442428588867,27.0,0.5804424285888672,850k
GSM3853524,61.37582015991211,61.0,0.3758201599121094,850k
GSM3853525,51.86202621459961,53.0,-1.1379737854003906,850k
GSM3853526,58.28032684326172,57.0,1.2803268432617188,850k
GSM3853527,44.81934356689453,45.0,-0.18065643310546875,850k
GSM3853528,54.35365295410156,56.0,-1.6463470458984375,850k
GSM3853529,20.706653594970703,19.0,1.7066535949707031,850k
GSM3853530,36.5020751953125,36.0,0.5020751953125,850k
GSM3853531,19.968347549438477,22.0,-2.0316524505615234,850k
GSM3853532,19.86591148376465,21.0,-1.1340885162353516,850k
GSM3853533,52.909873962402344,54.0,-1.0901260375976562,850k
GSM3853534,28.481304168701172,27.0,1.4813041687011719,850k
GSM3853535,61.05879592895508,62.0,-0.9412040710449219,850k
GSM3853536,33.69075393676758,32.0,1.6907539367675781,850k
GSM3853537,29.289453506469727,28.0,1.2894535064697266,850k
GSM3853538,45.722965240478516,46.0,-0.2770347595214844,850k
GSM3853539,44.50227737426758,44.0,0.5022773742675781,850k
GSM3853540,44.75877380371094,47.0,-2.2412261962890625,850k
GSM3853541,48.70942306518555,50.0,-1.2905769348144531,850k
GSM3853542,20.79676628112793,21.0,-0.2032337188720703,850k
GSM3853543,25.529300689697266,25.0,0.5293006896972656,850k
GSM3853544,25.216501235961914,27.0,-1.783498764038086,850k
GSM3853545,26.141145706176758,26.0,0.1411457061767578,850k
GSM3853546,30.506301879882812,32.0,-1.4936981201171875,850k
GSM3853547,43.42484664916992,46.0,-2.575153350830078,850k
GSM3853548,21.02164649963379,23.0,-1.978353500366211,850k
GSM3853549,32.956031799316406,33.0,-0.04396820068359375,850k
GSM3853550,39.96957778930664,40.0,-0.030422210693359375,850k
GSM3853551,42.394840240478516,45.0,-2.6051597595214844,850k
GSM3853552,55.20890808105469,58.0,-2.7910919189453125,850k
GSM3853553,31.805118560791016,31.0,0.8051185607910156,850k
GSM3853554,41.21821975708008,43.0,-1.7817802429199219,850k
GSM3853555,52.040767669677734,53.0,-0.9592323303222656,850k
GSM3853556,57.616024017333984,59.0,-1.3839759826660156,850k
GSM3853557,50.79128646850586,52.0,-1.2087135314941406,850k
GSM3853558,44.11050033569336,43.0,1.1105003356933594,850k
GSM3853559,51.636714935302734,53.0,-1.3632850646972656,850k
GSM3853560,25.944242477416992,27.0,-1.0557575225830078,850k
GSM3853561,30.33115005493164,29.0,1.3311500549316406,850k
GSM3853562,52.92498016357422,51.0,1.9249801635742188,850k
GSM3853563,29.161754608154297,29.0,0.16175460815429688,850k
GSM3853564,42.581321716308594,43.0,-0.41867828369140625,850k
GSM3853565,48.32071304321289,49.0,-0.6792869567871094,850k
